APP,commit url,types,cases,explanation,consequences,source-code locations,defect-triggering tests
marella/chatdocs,https://github.com/marella/chatdocs/tree/ff0f962972ba65f0bccbf2e81875a95bae7473b5,,case3,The response of a query is incomplete.There is no way to continue lost response currently through a new prompt and splitting the prompts into smaller chunks resulted in a lost of context when responding.,IC,"Lib/site-packages/markdown_it/token.py
-/Lib/site-packages/packaging/_tokenizer.py
-/Lib/site-packages/sqlalchemy/orm/path_registry.py","1. Set up ChatDocs: Ensure the project is correctly set up in your local environment.
2. Upload a document for querying.
3. Run ChatDocs: Execute `python chatdocs.py` or the relevant command to start the server.
4. Open the query interface in the web UI.
5. Enter a query that requires a detailed response.
6. Observe if the response is incomplete and whether there is currently no way to continue the lost response through a new prompt.
7. Attempt to split the query into smaller chunks and note if this results in a loss of context in the responses."
ranfysvalle02/chatdocs-mdb,https://github.com/ranfysvalle02/chatdocs-mdb/tree/6322d0ea03d2a3a14fbfaa7ca9f12104e733a72f,Missing LLM input format validation,/,The analysis of PPT documents needs optimization,IC,chatdocs/chat.py,Upload the pptx file.
ranfysvalle02/chatdocs-mdb,https://github.com/ranfysvalle02/chatdocs-mdb/tree/6322d0ea03d2a3a14fbfaa7ca9f12104e733a72f,lacking restrictions in prompt,case1,Limiting input length to prevent out of memory issues,"ST,UI",chatdocs/chat.py,"chatiq/prompt.py
chatiq/chat_chain.py"
ranfysvalle02/chatdocs-mdb,https://github.com/ranfysvalle02/chatdocs-mdb/tree/6322d0ea03d2a3a14fbfaa7ca9f12104e733a72f,,case2,Prompting in another language sometimes gives an English answer,IC,chatdocs/chat.py,"chatiq/text_processor.py
chatiq/chatiq.py"
ranfysvalle02/chatdocs-mdb,https://github.com/ranfysvalle02/chatdocs-mdb/tree/6322d0ea03d2a3a14fbfaa7ca9f12104e733a72f,Unclear context in prompt,case1,Query giving wrong citations and answers out of the document,IC,chatdocs/chat.py,"projects/app/src/pages/api/core/ai/token.ts
files/models/ChatGLM2/openai_api.py
python/bge-rerank/bge-reranker-base/app.py"
ranfysvalle02/chatdocs-mdb,https://github.com/ranfysvalle02/chatdocs-mdb/tree/6322d0ea03d2a3a14fbfaa7ca9f12104e733a72f,,case2,When trained on PDF I get results other than the content of the PDF ,ST,chatdocs/chat.py,packages/service/common/file/read
ranfysvalle02/chatdocs-mdb,https://github.com/ranfysvalle02/chatdocs-mdb/tree/6322d0ea03d2a3a14fbfaa7ca9f12104e733a72f,,case3,can't limit Chatdoc responses only to documents added,IC,chatdocs/chat.py,"1. Set up ChatDocs: Ensure the project is correctly set up in your local environment.
2. Upload a document for querying.
3. Run ChatDocs: Execute `python chatdocs.py` or the relevant command to start the server.
4. Open the query interface in the web UI.
5. Enter a query related to the content of the uploaded document.
6. Observe if the response includes information not contained in the uploaded documents."
ranfysvalle02/chatdocs-mdb,https://github.com/ranfysvalle02/chatdocs-mdb/tree/6322d0ea03d2a3a14fbfaa7ca9f12104e733a72f,knowledge misalignment,/,Error when parquet files get too big / function for splitting?,ST,"chatdocs/embeddings.py
chatdocs/add.py","1. Set up ChatDocs: Ensure the project is correctly set up in your local environment.
2. Prepare a large Parquet file for testing.
3. Run ChatDocs: Execute `python chatdocs.py` or the relevant command to start the server.
4. Upload the large Parquet file using the web UI.
5. Observe if an error occurs when handling the large Parquet file.
6. Check if there is a function or option for splitting the Parquet file to avoid errors."
ranfysvalle02/chatdocs-mdb,https://github.com/ranfysvalle02/chatdocs-mdb/tree/6322d0ea03d2a3a14fbfaa7ca9f12104e733a72f,Imprecise knowledge retrieval,/,"Asking a question gives ""Index not found, please create an instance before querying""",ST,"chatdocs/embeddings.py
chatdocs/add.py","1. Set up ChatDocs: Ensure the project is correctly set up in your local environment.
2. Upload a document for querying.
3. Run ChatDocs: Execute `python chatdocs.py` or the relevant command to start the server.
4. Open the query interface in the web UI.
5. Enter a question related to the content of the uploaded document.For example, ""Summarize the key points of the document.""
6. Observe if the response includes the error message ""Index not found, please create an instance before querying.""or ""ValueError: invalid literal for int() with base 10: 'some_value'"""
ranfysvalle02/chatdocs-mdb,https://github.com/ranfysvalle02/chatdocs-mdb/tree/6322d0ea03d2a3a14fbfaa7ca9f12104e733a72f,exceeding  LLM content limit,case1,Responses get cut off in the middle.,IC,"chatdocs/llms.py
chatdocs/ui.py","1. Set up ChatDocs: Ensure the project is correctly set up in your local environment.
2. Upload a document for querying.
3. Run ChatDocs: Execute `python chatdocs.py` or the relevant command to start the server.
4. Open the query interface in the web UI.
5. Enter a query related to the content of the uploaded document.
6. Observe the response to check if it gets cut off in the middle."
ranfysvalle02/chatdocs-mdb,https://github.com/ranfysvalle02/chatdocs-mdb/tree/6322d0ea03d2a3a14fbfaa7ca9f12104e733a72f,,case2,The answers get cut off in the middle when it gives longer answers,IC,"chatdocs/llms.py
chatdocs/ui.py","1. Set up ChatDocs: Ensure the project is correctly set up in your local environment.
2. Upload a document for querying.
3. Run ChatDocs: Execute `python chatdocs.py` or the relevant command to start the server.
4. Open the query interface in the web UI.
5. Enter a query that requires a detailed, longer response.
6. Observe the response to check if it gets cut off in the middle when providing longer answers."
ranfysvalle02/chatdocs-mdb,https://github.com/ranfysvalle02/chatdocs-mdb/tree/6322d0ea03d2a3a14fbfaa7ca9f12104e733a72f,,case3,The response of a query is incomplete.There is no way to continue lost response currently through a new prompt and splitting the prompts into smaller chunks resulted in a lost of context when responding.,IC,"chatdocs/llms.py
chatdocs/ui.py","1. Set up ChatDocs: Ensure the project is correctly set up in your local environment.
2. Upload a document for querying.
3. Run ChatDocs: Execute `python chatdocs.py` or the relevant command to start the server.
4. Open the query interface in the web UI.
5. Enter a query that requires a detailed response.
6. Observe if the response is incomplete and whether there is currently no way to continue the lost response through a new prompt.
7. Attempt to split the query into smaller chunks and note if this results in a loss of context in the responses."
Vidminas/chatdocs-streamlit,https://github.com/Vidminas/chatdocs-streamlit/tree/cf4053a1b20116fb0d05e64778e3c4c28b902f2a,Missing LLM input format validation,/,The analysis of PPT documents needs optimization,IC,"chatdocs/chat.py
chatdocs/pages/embeddings_viz.py
chatdocs/document_loaders/nougat_loader.py",Upload the pptx file.
Vidminas/chatdocs-streamlit,https://github.com/Vidminas/chatdocs-streamlit/tree/cf4053a1b20116fb0d05e64778e3c4c28b902f2a,lacking restrictions in prompt,case1,Limiting input length to prevent out of memory issues,"ST,UI",chatdocs/ui.py,"1. Set up ChatDocs: Ensure the project is correctly set up in your local environment.
2. Configure Input Length Limit: Set a specific limit for input length in the configuration file.
3. Run ChatDocs: Execute `python chatdocs.py` or the relevant command to start the server.
4. Open the input interface in the web UI.
5. Enter a lengthy input that exceeds the configured limit.
6. Observe if the system properly enforces the input length limit and prevents out-of-memory issues."
Vidminas/chatdocs-streamlit,https://github.com/Vidminas/chatdocs-streamlit/tree/cf4053a1b20116fb0d05e64778e3c4c28b902f2a,,case2,Prompting in another language sometimes gives an English answer,IC,chatdocs/ui.py,"1. Set up ChatDocs: Ensure the project is correctly set up in your local environment.
2. Upload a document for querying.
3. Run ChatDocs: Execute `python chatdocs.py` or the relevant command to start the server.
4. Open the query interface in the web UI.
5. Enter a query in a language other than English.
6. Observe if the response is given in English instead of the language of the query."
Vidminas/chatdocs-streamlit,https://github.com/Vidminas/chatdocs-streamlit/tree/cf4053a1b20116fb0d05e64778e3c4c28b902f2a,Unclear context in prompt,case1,Query giving wrong citations and answers out of the document,IC,chatdocs/ui.py,"1. Set up ChatDocs: Ensure the project is correctly set up in your local environment.
2. Upload a document for querying.
3. Run ChatDocs: Execute `python chatdocs.py` or the relevant command to start the server.
4. Open the query interface in the web UI.
5. Enter a query related to the content of the uploaded document.
6. Observe the response to check if it includes wrong citations or answers that are not from the document."
Vidminas/chatdocs-streamlit,https://github.com/Vidminas/chatdocs-streamlit/tree/cf4053a1b20116fb0d05e64778e3c4c28b902f2a,,case2,When trained on PDF I get results other than the content of the PDF ,ST,chatdocs/ui.py,"1. Set up ChatDocs: Ensure the project is correctly set up in your local environment.
2. Upload a PDF document for training.
3. Run ChatDocs: Execute `python chatdocs.py` or the relevant command to start the server.
4. Open the query interface in the web UI.
5. Enter a query related to the content of the uploaded PDF document, e.g Summarize the key points of the document..
6. Observe the results to check if the responses include information that is not from the content of the PDF document.(similar to AttributeError: 'NoneType' object has no attribute 'some_method')"
Vidminas/chatdocs-streamlit,https://github.com/Vidminas/chatdocs-streamlit/tree/cf4053a1b20116fb0d05e64778e3c4c28b902f2a,,case3,can't limit Chatdoc responses only to documents added,IC,chatdocs/ui.py,"1. Set up ChatDocs: Ensure the project is correctly set up in your local environment.
2. Upload a document for querying.
3. Run ChatDocs: Execute `python chatdocs.py` or the relevant command to start the server.
4. Open the query interface in the web UI.
5. Enter a query related to the content of the uploaded document.
6. Observe if the response includes information not contained in the uploaded documents."
Vidminas/chatdocs-streamlit,https://github.com/Vidminas/chatdocs-streamlit/tree/cf4053a1b20116fb0d05e64778e3c4c28b902f2a,knowledge misalignment,/,Error when parquet files get too big / function for splitting?,ST,"chatdocs/pages/embeddings_viz.py
chatdocs/embeddings.py
chatdocs/vectorstores.py","1. Set up ChatDocs: Ensure the project is correctly set up in your local environment.
2. Prepare a large Parquet file for testing.
3. Run ChatDocs: Execute `python chatdocs.py` or the relevant command to start the server.
4. Upload the large Parquet file using the web UI.
5. Observe if an error occurs when handling the large Parquet file.
6. Check if there is a function or option for splitting the Parquet file to avoid errors."
Vidminas/chatdocs-streamlit,https://github.com/Vidminas/chatdocs-streamlit/tree/cf4053a1b20116fb0d05e64778e3c4c28b902f2a,Imprecise knowledge retrieval,/,"Asking a question gives ""Index not found, please create an instance before querying""",ST,"chatdocs/ui.py
chatdocs/chains.py","1. Set up ChatDocs: Ensure the project is correctly set up in your local environment.
2. Upload a document for querying.
3. Run ChatDocs: Execute `python chatdocs.py` or the relevant command to start the server.
4. Open the query interface in the web UI.
5. Enter a question related to the content of the uploaded document.For example, ""Summarize the key points of the document.""
6. Observe if the response includes the error message ""Index not found, please create an instance before querying.""or ""ValueError: invalid literal for int() with base 10: 'some_value'"""
Vidminas/chatdocs-streamlit,https://github.com/Vidminas/chatdocs-streamlit/tree/cf4053a1b20116fb0d05e64778e3c4c28b902f2a,exceeding  LLM content limit,case1,Responses get cut off in the middle.,IC,"chatdocs/chat.py
chatdocs/ui.py
chatdocs/llms.py","1. Set up ChatDocs: Ensure the project is correctly set up in your local environment.
2. Upload a document for querying.
3. Run ChatDocs: Execute `python chatdocs.py` or the relevant command to start the server.
4. Open the query interface in the web UI.
5. Enter a query related to the content of the uploaded document.
6. Observe the response to check if it gets cut off in the middle."
Vidminas/chatdocs-streamlit,https://github.com/Vidminas/chatdocs-streamlit/tree/cf4053a1b20116fb0d05e64778e3c4c28b902f2a,,case2,The answers get cut off in the middle when it gives longer answers,IC,"chatdocs/chat.py
chatdocs/ui.py
chatdocs/llms.py","1. Set up ChatDocs: Ensure the project is correctly set up in your local environment.
2. Upload a document for querying.
3. Run ChatDocs: Execute `python chatdocs.py` or the relevant command to start the server.
4. Open the query interface in the web UI.
5. Enter a query that requires a detailed, longer response.
6. Observe the response to check if it gets cut off in the middle when providing longer answers."
Vidminas/chatdocs-streamlit,https://github.com/Vidminas/chatdocs-streamlit/tree/cf4053a1b20116fb0d05e64778e3c4c28b902f2a,,case3,The response of a query is incomplete.There is no way to continue lost response currently through a new prompt and splitting the prompts into smaller chunks resulted in a lost of context when responding.,IC,"chatdocs/chat.py
chatdocs/ui.py
chatdocs/llms.py","1. Set up ChatDocs: Ensure the project is correctly set up in your local environment.
2. Upload a document for querying.
3. Run ChatDocs: Execute `python chatdocs.py` or the relevant command to start the server.
4. Open the query interface in the web UI.
5. Enter a query that requires a detailed response.
6. Observe if the response is incomplete and whether there is currently no way to continue the lost response through a new prompt.
7. Attempt to split the query into smaller chunks and note if this results in a loss of context in the responses."
Haste171/langchain-chatbot,https://github.com/Haste171/langchain-chatbot/tree/f3999530d57eb8069d8b911024785d82ac5d003d,Unclear context in prompt,/,The LLM's answers sometimes contradict the truth or the content of the uploaded file,IC,handlers/base.py,"1.In the the application, select a character to converse with.
2.Ask the character vague or ambiguous questions/overly complex or contradictory Information
like ""Explain what it is."" or ""If the sun were blue, what color would the moon be?"""
Haste172/langchain-chatbot,https://github.com/Haste171/langchain-chatbot/tree/f3999530d57eb8069d8b911024785d82ac5d003d,Missing LLM input format validation,/,This project can't accept images read from PDF. ,IC,"ui/main.py
startup.py
endpoints/chat.py","1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Upload a PDF document that contains images.
3. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
4. Open the chat interface in the web UI.
5. Enter a query that references the images in the PDF.
6. Observe if the response fails to include or reference the images from the PDF, indicating that the project cannot process images read from PDF documents.(for example,OSError: [Errno 24] Too many open files)
7.Check Logs and Output: Review the application logs and console output for any additional error messages or stack traces that provide more details about the failure."
Haste171/langchain-chatbot,https://github.com/Haste171/langchain-chatbot/tree/f3999530d57eb8069d8b911024785d82ac5d003d,Out-of-sync LLM downstream tasks,/,Rate limit while ingesting,ST,handlers/base.py,"1. Set up LangChain Chatbot: Ensure the project is correctly set up in your local environment.
2. Configure Rate Limits: Set up any rate limit configurations in the environment or settings file.
3. Prepare a batch of documents for ingestion.
4. Run LangChain Chatbot: Execute `python langchain_chatbot.py` or the relevant command to start the server.
5. Start the ingestion process for the batch of documents.
6. Observe if the system encounters rate limit issues during the ingestion process."
Haste172/langchain-chatbot,https://github.com/Haste171/langchain-chatbot/tree/f3999530d57eb8069d8b911024785d82ac5d003d,insufficient history management,/,chat history in streamlit doesn't seem to work,IC,"endpoints/chat.py
handlers/base.py
ui/main.py","1. Set up LangChain Chatbot: Ensure the project is correctly set up in your local environment.
2. Run LangChain Chatbot: Execute `python langchain_chatbot.py` or the relevant command to start the server.
3. Open the Streamlit interface in your web browser.
4. Start a chat session by entering a query in the chat interface.
5. Continue the chat with multiple queries to build a chat history.
6. Observe if the chat history is correctly displayed and updated in the Streamlit interface."
Haste173/langchain-chatbot,https://github.com/Haste171/langchain-chatbot/tree/f3999530d57eb8069d8b911024785d82ac5d003d,exceeding  LLM content limit,/,Token Limitation,ST,handlers/base.py,"1. Set up LangChain Chatbot: Ensure the project is correctly set up in your local environment.
2. Configure Token Limit: Set a specific token limit in the configuration file.
3. Run LangChain Chatbot: Execute `python langchain_chatbot.py` or the relevant command to start the server.
4. Open the chat interface in the Streamlit web UI.
5. Enter a long query or multiple queries that exceed the configured token limit.
6. Observe if the system correctly handles the token limit and if any errors or truncation issues occur."
iMagist486/ElasticSearch-Langchain-Chatglm2,https://github.com/iMagist486/ElasticSearch-Langchain-Chatglm2/tree/304d3d204a00782a0078fd76be232fa5802f4307,Unclear context in prompt,/,The LLM's answers sometimes contradict the truth or the content of the uploaded file,IC,"model/base.py
model/chatglm_llm.py","1.In the the application, select a character to converse with.
2.Ask the character vague or ambiguous questions/overly complex or contradictory Information
like ""Explain what it is."" or ""If the sun were blue, what color would the moon be?"""
iMagist486/ElasticSearch-Langchain-Chatglm2,https://github.com/iMagist486/ElasticSearch-Langchain-Chatglm2/tree/304d3d204a00782a0078fd76be232fa5802f4307,Missing LLM input format validation,/,This project can't accept images read from PDF. ,IC,web.py,"1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Upload a PDF document that contains images.
3. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
4. Open the chat interface in the web UI.
5. Enter a query that references the images in the PDF.
6. Observe if the response fails to include or reference the images from the PDF, indicating that the project cannot process images read from PDF documents.(for example,OSError: [Errno 24] Too many open files)
7.Check Logs and Output: Review the application logs and console output for any additional error messages or stack traces that provide more details about the failure."
iMagist486/ElasticSearch-Langchain-Chatglm2,https://github.com/iMagist486/ElasticSearch-Langchain-Chatglm2/tree/304d3d204a00782a0078fd76be232fa5802f4307,exceeding  LLM content limit,/,"PineconeError: Error, message length too large: found 5453452 bytes, the limit is: 4194304 bytes",IC,"model/chatglm_llm.py
web.py","1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Configure Pinecone: Ensure Pinecone is properly set up and integrated.
3. Upload a large PDF document or dataset that could exceed typical message size limits.
4. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
5. Open the chat interface in the web UI.
6. Enter a query that processes the large PDF document or dataset.
7. Observe if a PineconeError occurs, specifically an error message indicating that the message length is too large, such as ""found 5453452 bytes, the limit is: 4194304 bytes."""
mayooear/gpt4-pdf-chatbot-langchain,https://github.com/mayooear/gpt4-pdf-chatbot-langchain/tree/66d183f6b207fa1d92153a430c620c58b01e9b1c,insufficient history management,/,Chat history is not included in the prompt (model is not aware of previous interactions),IC,"utils/makechain.ts
pages/index.tsx
pages/api/chat.ts","1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Upload a PDF document for querying.
3. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
4. Open the chat interface in the web UI.
5. Enter a query and observe the response.
6. Enter a follow-up query that relies on the context of the previous interaction.
7. Observe if the response demonstrates awareness of the previous interactions or if it treats each query as an isolated interaction.(similar to ""AttributeError: 'NoneType' object has no attribute 'extract_text'"")"
mayooear/gpt5-pdf-chatbot-langchain,https://github.com/mayooear/gpt4-pdf-chatbot-langchain/tree/66d183f6b207fa1d92153a430c620c58b01e9b1c,Unclear context in prompt,/,The LLM's answers sometimes contradict the truth or the content of the uploaded file,IC,utils/makechain.ts,"1.In the the application, select a character to converse with.
2.Ask the character vague or ambiguous questions/overly complex or contradictory Information
like ""Explain what it is."" or ""If the sun were blue, what color would the moon be?"""
mayooear/gpt5-pdf-chatbot-langchain,https://github.com/mayooear/gpt4-pdf-chatbot-langchain/tree/66d183f6b207fa1d92153a430c620c58b01e9b1c,Missing LLM input format validation,/,This project can't accept images read from PDF. ,IC,"utils/makechain.ts
pages/index.tsx
utils/cn.ts","1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Upload a PDF document that contains images.
3. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
4. Open the chat interface in the web UI.
5. Enter a query that references the images in the PDF.
6. Observe if the response fails to include or reference the images from the PDF, indicating that the project cannot process images read from PDF documents.(for example,OSError: [Errno 24] Too many open files)
7.Check Logs and Output: Review the application logs and console output for any additional error messages or stack traces that provide more details about the failure."
mayooear/gpt6-pdf-chatbot-langchain,https://github.com/mayooear/gpt4-pdf-chatbot-langchain/tree/66d183f6b207fa1d92153a430c620c58b01e9b1c,exceeding  LLM content limit,/,"PineconeError: Error, message length too large: found 5453452 bytes, the limit is: 4194304 bytes",IC,ingest-data.ts,"1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Configure Pinecone: Ensure Pinecone is properly set up and integrated.
3. Upload a large PDF document or dataset that could exceed typical message size limits.
4. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
5. Open the chat interface in the web UI.
6. Enter a query that processes the large PDF document or dataset.
7. Observe if a PineconeError occurs, specifically an error message indicating that the message length is too large, such as ""found 5453452 bytes, the limit is: 4194304 bytes."""
davideuler/gpt4-pdf-chatbot-langchain-chromadb,https://github.com/davideuler/gpt4-pdf-chatbot-langchain-chromadb/tree/5c0f8daba056483afebf9e8a46a988e07c58ee99,Unclear context in prompt,/,The LLM's answers sometimes contradict the truth or the content of the uploaded file,IC,utils/makechain.ts,"1.In the the application, select a character to converse with.
2.Ask the character vague or ambiguous questions/overly complex or contradictory Information
like ""Explain what it is."" or ""If the sun were blue, what color would the moon be?"""
davideuler/gpt4-pdf-chatbot-langchain-chromadb,https://github.com/davideuler/gpt4-pdf-chatbot-langchain-chromadb/tree/5c0f8daba056483afebf9e8a46a988e07c58ee99,insufficient history management,/,Chat history is not included in the prompt (model is not aware of previous interactions),IC,"pages/index.tsx
pages/api/chat.ts","1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Upload a PDF document for querying.
3. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
4. Open the chat interface in the web UI.
5. Enter a query and observe the response.
6. Enter a follow-up query that relies on the context of the previous interaction.
7. Observe if the response demonstrates awareness of the previous interactions or if it treats each query as an isolated interaction.(similar to ""AttributeError: 'NoneType' object has no attribute 'extract_text'"")"
davideuler/gpt4-pdf-chatbot-langchain-chromadb,https://github.com/davideuler/gpt4-pdf-chatbot-langchain-chromadb/tree/5c0f8daba056483afebf9e8a46a988e07c58ee99,Missing LLM input format validation,/,This project can't accept images read from PDF. ,IC,"pages/index.tsx
utils/cn.ts","1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Upload a PDF document that contains images.
3. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
4. Open the chat interface in the web UI.
5. Enter a query that references the images in the PDF.
6. Observe if the response fails to include or reference the images from the PDF, indicating that the project cannot process images read from PDF documents.(for example,OSError: [Errno 24] Too many open files)
7.Check Logs and Output: Review the application logs and console output for any additional error messages or stack traces that provide more details about the failure."
davideuler/gpt4-pdf-chatbot-langchain-chromadb,https://github.com/davideuler/gpt4-pdf-chatbot-langchain-chromadb/tree/5c0f8daba056483afebf9e8a46a988e07c58ee99,exceeding  LLM content limit,/,"PineconeError: Error, message length too large: found 5453452 bytes, the limit is: 4194304 bytes",IC,utils/makechain.ts,"1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Configure Pinecone: Ensure Pinecone is properly set up and integrated.
3. Upload a large PDF document or dataset that could exceed typical message size limits.
4. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
5. Open the chat interface in the web UI.
6. Enter a query that processes the large PDF document or dataset.
7. Observe if a PineconeError occurs, specifically an error message indicating that the message length is too large, such as ""found 5453452 bytes, the limit is: 4194304 bytes."""
groovybits/gaib,https://github.com/groovybits/gaib/tree/887e8edf7f6ce112af4790ac5f45c629b05e3225,Unclear context in prompt,/,The LLM's answers sometimes contradict the truth or the content of the uploaded file,IC,"config/personalityPrompts.ts
pages/api/openai.ts","1.In the the application, select a character to converse with.
2.Ask the character vague or ambiguous questions/overly complex or contradictory Information
like ""Explain what it is."" or ""If the sun were blue, what color would the moon be?"""
groovybits/gaib,https://github.com/groovybits/gaib/tree/887e8edf7f6ce112af4790ac5f45c629b05e3225,insufficient history management,/,Chat history is not included in the prompt (model is not aware of previous interactions),IC,"pages/api/chat.ts
scripts/twitchChat.ts
config/personalityPrompts.ts","1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Upload a PDF document for querying.
3. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
4. Open the chat interface in the web UI.
5. Enter a query and observe the response.
6. Enter a follow-up query that relies on the context of the previous interaction.
7. Observe if the response demonstrates awareness of the previous interactions or if it treats each query as an isolated interaction.(similar to ""AttributeError: 'NoneType' object has no attribute 'extract_text'"")"
groovybits/gaib,https://github.com/groovybits/gaib/tree/887e8edf7f6ce112af4790ac5f45c629b05e3225,Missing LLM input format validation,/,This project can't accept images read from PDF. ,IC,"scripts/twitchChat.ts
scripts/ingest-data.ts","1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Upload a PDF document that contains images.
3. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
4. Open the chat interface in the web UI.
5. Enter a query that references the images in the PDF.
6. Observe if the response fails to include or reference the images from the PDF, indicating that the project cannot process images read from PDF documents.(for example,OSError: [Errno 24] Too many open files)
7.Check Logs and Output: Review the application logs and console output for any additional error messages or stack traces that provide more details about the failure."
groovybits/gaib,https://github.com/groovybits/gaib/tree/887e8edf7f6ce112af4790ac5f45c629b05e3225,exceeding  LLM content limit,/,"PineconeError: Error, message length too large: found 5453452 bytes, the limit is: 4194304 bytes",IC,"components/TokensDropdown.tsx
utils/makechain.ts
pages/api/chat.ts","1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Configure Pinecone: Ensure Pinecone is properly set up and integrated.
3. Upload a large PDF document or dataset that could exceed typical message size limits.
4. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
5. Open the chat interface in the web UI.
6. Enter a query that processes the large PDF document or dataset.
7. Observe if a PineconeError occurs, specifically an error message indicating that the message length is too large, such as ""found 5453452 bytes, the limit is: 4194304 bytes."""
sagarsaija/gpt4-pdf-chatbot-langchain-chroma,https://github.com/sagarsaija/gpt4-pdf-chatbot-langchain-chroma/tree/259d5cb6510b0c06b93389810671d73482f9a37c,Unclear context in prompt,/,The LLM's answers sometimes contradict the truth or the content of the uploaded file,IC,utils/makechain.ts,"1.In the the application, select a character to converse with.
2.Ask the character vague or ambiguous questions/overly complex or contradictory Information
like ""Explain what it is."" or ""If the sun were blue, what color would the moon be?"""
sagarsaija/gpt4-pdf-chatbot-langchain-chroma,https://github.com/sagarsaija/gpt4-pdf-chatbot-langchain-chroma/tree/259d5cb6510b0c06b93389810671d73482f9a37c,insufficient history management,/,Chat history is not included in the prompt (model is not aware of previous interactions),IC,"pages/index.tsx
pages/api/chat.ts","1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Upload a PDF document for querying.
3. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
4. Open the chat interface in the web UI.
5. Enter a query and observe the response.
6. Enter a follow-up query that relies on the context of the previous interaction.
7. Observe if the response demonstrates awareness of the previous interactions or if it treats each query as an isolated interaction.(similar to ""AttributeError: 'NoneType' object has no attribute 'extract_text'"")"
sagarsaija/gpt4-pdf-chatbot-langchain-chroma,https://github.com/sagarsaija/gpt4-pdf-chatbot-langchain-chroma/tree/259d5cb6510b0c06b93389810671d73482f9a37c,Missing LLM input format validation,/,This project can't accept images read from PDF. ,IC,"pages/index.tsx
utils/cn.ts","1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Upload a PDF document that contains images.
3. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
4. Open the chat interface in the web UI.
5. Enter a query that references the images in the PDF.
6. Observe if the response fails to include or reference the images from the PDF, indicating that the project cannot process images read from PDF documents.(for example,OSError: [Errno 24] Too many open files)
7.Check Logs and Output: Review the application logs and console output for any additional error messages or stack traces that provide more details about the failure."
sagarsaija/gpt4-pdf-chatbot-langchain-chroma,https://github.com/sagarsaija/gpt4-pdf-chatbot-langchain-chroma/tree/259d5cb6510b0c06b93389810671d73482f9a37c,exceeding  LLM content limit,/,"PineconeError: Error, message length too large: found 5453452 bytes, the limit is: 4194304 bytes",IC,utils/makechain.ts,"1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Configure Pinecone: Ensure Pinecone is properly set up and integrated.
3. Upload a large PDF document or dataset that could exceed typical message size limits.
4. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
5. Open the chat interface in the web UI.
6. Enter a query that processes the large PDF document or dataset.
7. Observe if a PineconeError occurs, specifically an error message indicating that the message length is too large, such as ""found 5453452 bytes, the limit is: 4194304 bytes."""
oshoura/IslamAI,https://github.com/oshoura/IslamAI/tree/d39fad996040c1fe7917b330996620380b9028af,Unclear context in prompt,/,The LLM's answers sometimes contradict the truth or the content of the uploaded file,IC,utils/makechain.ts,"1.In the the application, select a character to converse with.
2.Ask the character vague or ambiguous questions/overly complex or contradictory Information
like ""Explain what it is."" or ""If the sun were blue, what color would the moon be?"""
